inputFiles,10,,
name,checksum,
ambulances,'3415557923'
arcs,'3591426700'
calls,'3383382177'
hospitals,'3337189805'
map,'2496827050'
nodes,'245131209'
priorities,'534804083'
rNetTravels,'0'
stations,'3855485780'
travel,'1045646448'
,
eventDict,14,,
key,name,
0,nullEvent
1,ambGoesToSleep
2,ambWakesUp
3,callArrives
4,considerDispatch
5,ambDispatched
6,ambReachesCall
7,ambGoesToHospital
8,ambReachesHospital
9,ambBecomesIdle
10,ambReachesStation
11,ambRedirected
12,considerMoveUp
13,ambMoveUp
,
events,
index,parentIndex,time,eventKey,ambIndex,callIndex,stationIndex,
1,-1,0.00000,2,20,-1,1,
2,-1,0.00000,2,19,-1,1,
3,-1,0.00000,2,18,-1,1,
4,-1,0.00000,2,17,-1,1,
5,-1,0.00000,2,16,-1,1,
6,-1,0.00000,2,15,-1,1,
7,-1,0.00000,2,14,-1,1,
8,-1,0.00000,2,13,-1,1,
9,-1,0.00000,2,12,-1,1,
10,-1,0.00000,2,11,-1,1,
11,-1,0.00000,2,10,-1,1,
12,-1,0.00000,2,9,-1,1,
13,-1,0.00000,2,8,-1,1,
14,-1,0.00000,2,7,-1,1,
15,-1,0.00000,2,6,-1,1,
16,-1,0.00000,2,5,-1,1,
17,-1,0.00000,2,4,-1,1,
18,-1,0.00000,2,3,-1,1,
19,-1,0.00000,2,2,-1,1,
20,-1,0.00000,2,1,-1,1,
21,-1,0.00391,3,-1,1,-1,
22,21,0.00577,4,-1,1,-1,
23,22,0.00577,5,1,1,1,
24,-1,0.00911,3,-1,2,-1,
25,-1,0.01076,3,-1,3,-1,
26,24,0.01108,4,-1,2,-1,
27,26,0.01108,5,2,2,1,
28,-1,0.01150,3,-1,4,-1,
29,25,0.01191,4,-1,3,-1,
30,29,0.01191,5,3,3,1,
31,28,0.01280,4,-1,4,-1,
32,31,0.01280,5,4,4,1,
33,-1,0.01412,3,-1,5,-1,
34,33,0.01592,4,-1,5,-1,
35,34,0.01592,5,5,5,1,
36,23,0.01808,6,1,1,1,
37,-1,0.01828,3,-1,6,-1,
38,37,0.01987,4,-1,6,-1,
39,38,0.01987,5,6,6,1,
40,-1,0.02012,3,-1,7,-1,
41,-1,0.02026,3,-1,8,-1,
42,40,0.02155,4,-1,7,-1,
43,42,0.02155,5,7,7,1,
44,41,0.02158,4,-1,8,-1,
45,44,0.02158,5,8,8,1,
46,36,0.02460,9,1,1,1,
47,43,0.02487,6,7,7,1,
48,30,0.02596,6,3,3,1,
49,35,0.02660,6,5,5,1,
50,-1,0.02672,3,-1,9,-1,
51,50,0.02775,4,-1,9,-1,
52,51,0.02775,5,1,9,1,
53,39,0.02822,6,6,6,1,
54,48,0.02872,7,3,3,1,
55,-1,0.02914,3,-1,10,-1,
56,53,0.03128,7,6,6,1,
57,55,0.03162,4,-1,10,-1,
58,57,0.03162,5,9,10,1,
59,27,0.03290,6,2,2,1,
60,49,0.03352,7,5,5,1,
61,-1,0.03493,3,-1,11,-1,
62,47,0.03564,7,7,7,1,
63,61,0.03584,4,-1,11,-1,
64,63,0.03584,5,10,11,1,
65,45,0.03773,6,8,8,1,
66,32,0.03822,6,4,4,1,
67,58,0.03940,6,9,10,1,
68,62,0.04133,8,7,7,1,
69,59,0.04157,9,2,2,1,
70,65,0.04176,7,8,8,1,
71,56,0.04200,8,6,6,1,
72,52,0.04224,6,1,9,1,
73,66,0.04259,7,4,4,1,
74,-1,0.04435,3,-1,12,-1,
75,54,0.04515,8,3,3,1,
76,74,0.04521,4,-1,12,-1,
77,76,0.04521,5,11,12,1,
78,60,0.04657,8,5,5,1,
79,68,0.04713,9,7,7,1,
80,75,0.04873,9,3,3,1,
81,79,0.05176,10,7,-1,1,
82,72,0.05190,7,1,9,1,
83,64,0.05200,6,10,11,1,
84,80,0.05336,10,3,-1,1,
85,-1,0.05337,3,-1,13,-1,
86,78,0.05419,9,5,5,1,
87,85,0.05504,4,-1,13,-1,
88,87,0.05504,5,3,13,1,
89,67,0.05509,9,9,10,1,
90,-1,0.05838,3,-1,14,-1,
91,86,0.05883,10,5,-1,1,
92,-1,0.05989,3,-1,15,-1,
93,70,0.06028,8,8,8,1,
94,90,0.06033,4,-1,14,-1,
95,94,0.06033,5,5,14,1,
96,-1,0.06051,3,-1,16,-1,
97,92,0.06104,4,-1,15,-1,
98,97,0.06104,5,9,15,1,
99,96,0.06177,4,-1,16,-1,
100,99,0.06177,5,2,16,1,
101,71,0.06199,9,6,6,1,
102,77,0.06348,6,11,12,1,
103,93,0.06516,9,8,8,1,
104,101,0.06662,10,6,-1,1,
105,83,0.06704,7,10,11,1,
106,88,0.06714,6,3,13,1,
107,73,0.06855,8,4,4,1,
108,106,0.06966,7,3,13,1,
109,103,0.06980,10,8,-1,1,
110,-1,0.07181,3,-1,17,-1,
111,102,0.07182,7,11,12,1,
112,107,0.07193,9,4,4,1,
113,110,0.07208,4,-1,17,-1,
114,113,0.07208,5,6,17,1,
115,98,0.07485,6,9,15,1,
116,82,0.07564,8,1,9,1,
117,100,0.07595,6,2,16,1,
118,95,0.08212,6,5,14,1,
119,108,0.08413,8,3,13,1,
120,105,0.08557,8,10,11,1,
121,114,0.08571,6,6,17,1,
122,116,0.08653,9,1,9,1,
123,121,0.08803,7,6,17,1,
124,117,0.08855,7,2,16,1,
125,-1,0.08979,3,-1,18,-1,
126,111,0.09063,8,11,12,1,
127,120,0.09080,9,10,11,1,
128,122,0.09117,10,1,-1,1,
129,125,0.09276,4,-1,18,-1,
130,129,0.09276,5,1,18,1,
131,127,0.09543,10,10,-1,1,
132,112,0.09546,10,4,-1,1,
133,115,0.09553,7,9,15,1,
134,119,0.09692,9,3,13,1,
135,126,0.09723,9,11,12,1,
136,118,0.10095,9,5,14,1,
